"","date","government_name","government_ID","petrol","diesel","bottled_water","treated_water","soap","laundry_powder","sanitary_napkins","cost_cubic_meter","exchange_rates","num_obs"
"162","2019-04-01","Al Hudaydah","YE18",390,390,130,110,130,120,370,2250,511,42
"163","2019-04-01","Dhamar","YE20",875,938,140,400,120,140,750,3500,525,9
"164","2019-04-01","Shabwah","YE21",360,360,100,100,115,120,500,1300,510,6
"165","2019-04-01","Sa'ada","YE22",485,425,150,100,135,155,690,1100,515,12
"166","2019-04-01","Sana'a","YE23",365,430,100,70,150,100,500,1400,520,30
"167","2019-04-01","Aden","YE24",315,365,140,125,125,87.5,475,3500,510,20
"168","2019-04-01","Lahj","YE25",315,365,150,130,100,100,500,500,510,13
"169","2019-04-01","Amran","YE29",365,430,110,400,150,100,833,1050,523,10
"170","2019-04-01","Socotra","YE32",235,235,130,NA,150,130,650,800,500,3
"171","2019-03-01","Ibb","YE11",365,430,120,500,130,90.90909091,500,2000,580,18
"172","2019-03-01","Abyan","YE12",340,375,120,100,204,80,550,2000,547.5,3
"173","2019-03-01","Sana'a City","YE13",365,430,100,100,120,100,500,1166,525,57
"174","2019-03-01","Al Bayda","YE14",390,450,150,120,170,180,600,5000,600,3
"175","2019-03-01","Taizz","YE15",375,430,120,100,150,100,525,2000,580,65
"176","2019-03-01","Al Jawf","YE16",375,435,110,310,100,100,850,900,570,3
"177","2019-03-01","Hajjah","YE17",375,430,120,100,130,100,625,4500,560,16
"178","2019-03-01","Al Hudaydah","YE18",375,410,150,72.5,120,109.5,375,2500,542.5,44
"179","2019-03-01","Dhamar","YE20",375,430,105,340,120,120,560,3200,590,12
"180","2019-03-01","Shabwah","YE21",350,365,100,150,135,119,500,2700,585,6
"181","2019-03-01","Sa'ada","YE22",375,430,130,150,150,140,650,1600,560,17
"182","2019-03-01","Sana'a","YE23",365,430,100,70,150,100,500,1275,571,30
"183","2019-03-01","Aden","YE24",290,355,140,90,120,136,500,3000,585,20
"184","2019-03-01","Lahj","YE25",300,375,150,100,150,91,550,1000,585,13
"185","2019-03-01","Amran","YE29",365,430,120,200,150,109,791.5,950,587.5,10
"186","2019-03-01","Al Dhale'e","YE30",330,380,110,100,210.5,77.5,500,2250,545,6
"187","2019-03-01","Socotra","YE32",230,230,120,NA,160,140,700,900,560,3
"188","2019-02-01","Ibb","YE11",325,375,130,200,135,120,550,3000,557.5,12
"189","2019-02-01","Sana'a City","YE13",325,375,100,110,120,100,500,1500,595,54
"190","2019-02-01","Taizz","YE15",325,340,120,100,122.96296295,97.91666667,550,2000,580,74
"191","2019-02-01","Al Jawf","YE16",325,375,100,350,100,120,NA,875,590,3
"192","2019-02-01","Hajjah","YE17",325,375,120,100,120,100,500,1250,590,22
"193","2019-02-01","Al Hudaydah","YE18",325,375,150,75,150,120,410,1500,590,59
"194","2019-02-01","Dhamar","YE20",325,375,100,340,110,100,500,3000,570,18
"195","2019-02-01","Shabwah","YE21",240,317.5,100,80,140,119.0909091,500,2365,595,6
"196","2019-02-01","Sa'ada","YE22",360,400,120,300,150,130,700,3750,589,20
"197","2019-02-01","Sana'a","YE23",325,420,100,60,150,100,500,1500,552.5,27
"198","2019-02-01","Aden","YE24",275,310,130,90,150,113.636363655,525,2500,590,20
"199","2019-02-01","Lahj","YE25",275,305,120,150,150,90.90909091,600,250,580,13
"200","2019-02-01","Amran","YE29",325,375,115,250,120,90.90909091,525,900,562.5,10
"201","2019-02-01","Al Dhale'e","YE30",280,300,120,100,160,80,500,2000,560,9
"202","2019-02-01","Socotra","YE32",235,230,100,100,96,80,600,1000,580,3
"203","2019-01-01","Ibb","YE11",390,390,100,200,120,100,450,2500,545,11
"204","2019-01-01","Abyan","YE12",310,310,120,100,120,80,500,NA,555,18
"205","2019-01-01","Sana'a City","YE13",410,410,100,120,92.114285715,100,550,1100,545,68
"206","2019-01-01","Taizz","YE15",340,340,120,100,112.9411765,95.83333333,500,3000,550,83
"207","2019-01-01","Al Jawf","YE16",400,400,100,305,103,110,800,1000,560,3
"208","2019-01-01","Hajjah","YE17",412.5,415,120,50,137.1428571,85.454545455,450,1500,520,34
"209","2019-01-01","Al Hudaydah","YE18",410,410,130,100,128,109.0909091,500,1550,535,59
"210","2019-01-01","Dhamar","YE20",412.5,412.5,110,340,134.66666665,115,500,2275,550,6
"211","2019-01-01","Shabwah","YE21",312.5,312.5,100,100,130,120,550,2175,560,6
"212","2019-01-01","Sa'ada","YE22",420,420,100,300,120,110,825,1000,560,9
"213","2019-01-01","Sana'a","YE23",410,410,100,70,160,105,500,1300,560,24
"214","2019-01-01","Aden","YE24",275,310,145,135,171.4285714,122.72727275,500,4000,530,15
"215","2019-01-01","Lahj","YE25",305,305,120,300,171.4285714,45.45454545,600,250,530,13
"216","2019-01-01","Amran","YE29",410,410,105,500,137.1428571,90.90909091,525,950,550,10
"217","2019-01-01","Al Dhale'e","YE30",300,300,95,100,230.4,80,500,2500,530,9
"218","2019-01-01","Socotra","YE32",300,300,100,120,96,110,600,1200,520,3
"219","2018-12-01","Ibb","YE11",435,450,120,175,150,72.72727273,385,2500,507.5,12
"220","2018-12-01","Abyan","YE12",300,375,130,100,150,100,550,3000,500,21
"221","2018-12-01","Sana'a City","YE13",395,447.5,100,100,125,100,525,1154,490,58
"222","2018-12-01","Al Bayda","YE14",400,410,225,300,145,150,545,2000,509,6
"223","2018-12-01","Taizz","YE15",380,390,120,100,130,90.90909091,550,2200,508.5,59
"224","2018-12-01","Al Jawf","YE16",435,475,100,300,105,105,800,1600,495,2
"225","2018-12-01","Hajjah","YE17",435,475,120,100,145,104.54545455,600,1975,505,35
"226","2018-12-01","Al Hudaydah","YE18",430,430,150,100,130,119.0909091,400,1900,510,40
"227","2018-12-01","Dhamar","YE20",415,465,110,445,120,120,500,3050,510,12
"228","2018-12-01","Sa'ada","YE22",500,550,150,57.5,150,125,600,1500,500,19
"229","2018-12-01","Sana'a","YE23",395,450,105,100,140,110,520,1250,502.5,39
"230","2018-12-01","Aden","YE24",285,NA,145,120,140,136.3636364,550,3000,480,20
"231","2018-12-01","Lahj","YE25",285,302.5,120,150,130,100,600,200,490,13
"232","2018-12-01","Amran","YE29",435,475,110,250,120,90.90909091,550,1100,500,11
"233","2018-12-01","Al Dhale'e","YE30",400,400,NA,100,150,90.90909091,500,2000,450,9
"234","2018-12-01","Socotra","YE32",200,310,140,NA,145,115,600,1200,510,3
"235","2018-11-01","Ibb","YE11",537.5,555,150,200,165,120,450,2300,530,12
"236","2018-11-01","Abyan","YE12",780,750,150,100,150,100,550,NA,517.5,18
"237","2018-11-01","Sana'a City","YE13",500,530,150,120,89.6,120,600,1309,530,70
"238","2018-11-01","Al Bayda","YE14",575,577.5,225,300,120,165,545,2100,562.5,6
"239","2018-11-01","Taizz","YE15",450,425,145,100,133.3333333,100,600,2000,530,44
"240","2018-11-01","Al Jawf","YE16",500,530,150,300,160,100,550,1500,540,3
"241","2018-11-01","Hajjah","YE17",575,580,150,100,176.38095235,130,600,1500,520,36
"242","2018-11-01","Al Hudaydah","YE18",550,550,150,100,171.4285714,127.2727273,500,2500,550,43
"243","2018-11-01","Dhamar","YE20",500,530,110,490,160,130,600,2400,510,5
"244","2018-11-01","Sa'ada","YE22",575,600,150,150,138.6666667,120,600,900,550,27
"245","2018-11-01","Sana'a","YE23",575,575,130,100,160,120,600,1150,540,36
"246","2018-11-01","Aden","YE24",390,460,150,87.5,171.4285714,172.7272727,600,3000,550,15
"247","2018-11-01","Lahj","YE25",440,440,150,50,171.4285714,118.1818182,400,2000,540,11
"248","2018-11-01","Amran","YE29",500,530,130,300,137.1428571,109.0909091,650,1800,540,10
"249","2018-11-01","Al Dhale'e","YE30",382.5,367.5,150,100,100,100,550,2500,550,9
"250","2018-11-01","Raymah","YE31",595,600,150,550,113.33333335,112.28239845,500,3000,540,6
"251","2018-11-01","Socotra","YE32",300,440,140,NA,120,140,700,1200,530,3
"252","2018-10-01","Ibb","YE11",575,580,150,200,150,109.0909091,525,2300,735,12
"253","2018-10-01","Abyan","YE12",550,550,150,100,130,94,600,2000,750,18
"254","2018-10-01","Sana'a City","YE13",575,580,150,250,150,100,600,1700,750,89
"255","2018-10-01","Al Bayda","YE14",950,1000,200,300,200,195,725,2350,NA,6
"256","2018-10-01","Taizz","YE15",620,580,150,150,157.5,150,660,2450,740,18
"257","2018-10-01","Al Jawf","YE16",750,700,170,1166.666667,260,170,291.6666667,1700,750,3
"258","2018-10-01","Hajjah","YE17",675,630,150,100,170,136.3636364,500,2000,705,43
"259","2018-10-01","Al Hudaydah","YE18",660,620,150,90,150,147.72727275,475,1000,745,36
"260","2018-10-01","Dhamar","YE20",627.5,600,145,400,132.5,140,635,3750,754,13
"261","2018-10-01","Sa'ada","YE22",590,600,150,250,190,160,600,1500,750,33
"262","2018-10-01","Sana'a","YE23",590,600,140,150,160,120,650,1300,750,24
"263","2018-10-01","Aden","YE24",390,400,150,175,150,181.8181818,650,5000,740,25
"264","2018-10-01","Lahj","YE25",457.5,525,200,175,160,136.3636364,700,200,740,16
"265","2018-10-01","Amran","YE29",575,585,150,125,150,109.0909091,650,1500,740,3
"266","2018-10-01","Al Dhale'e","YE30",520,525,150,580,275,125,650,3250,743.5,4
"267","2018-10-01","Socotra","YE32",300,400,140,NA,150,140,700,1200,740,3
"268","2018-09-01","Ibb","YE11",650,600,150,200,213.333333333333,90.9090909090909,400,2650,630,12
"269","2018-09-01","Sana'a City","YE13",575,580,120,125,112,100,455,1333,700,85
"270","2018-09-01","Al Bayda","YE14",785,875,145,237.5,180,NA,625,1200,692.5,6
"271","2018-09-01","Taizz","YE15",600,550,150,150,150,90.9090909090909,560,2250,685,33
"272","2018-09-01","Hajjah","YE17",700,650,150,150,171.428571428571,90.9090909090909,600,3500,690,32
"273","2018-09-01","Al Hudaydah","YE18",672.5,550,150,100,150,NA,500,2000,700,44
"274","2018-09-01","Dhamar","YE20",687.475,593.75,130,220,150,NA,490,6000,670,16
"275","2018-09-01","Sa'ada","YE22",NA,NA,120,100,187.5,NA,550,1000,640,9
"276","2018-09-01","Sana'a","YE23",720,650,130,150,160,NA,650,1225,720,35
"277","2018-09-01","Aden","YE24",450,450,120,125,214.285714285714,136.363636363636,600,5000,700,24
"278","2018-09-01","Lahj","YE25",520,450,50,150,185.714285714286,90.9090909090909,600,250,700,16
"279","2018-09-01","Al Dhale'e","YE30",600,575,150,NA,187.5,NA,1000,6000,635,9
"280","2018-09-01","Raymah","YE31",750,650,150,NA,400,160,600,3000,NA,11
"281","2018-09-01","Socotra","YE32",230,230,140,NA,145,NA,610,1200,680,3
"282","2018-08-01","Ibb","YE11",425,400,120,200,200,80,450,2000,NA,12
"283","2018-08-01","Sana'a City","YE13",400,375,100,100,96,90,400,1166,NA,97
"284","2018-08-01","Al Bayda","YE14",427.5,427.5,150,125,150,120,600,1700,NA,6
"285","2018-08-01","Taizz","YE15",420,420,130,100,122.5,100,600,1300,NA,20
"286","2018-08-01","Al Jawf","YE16",360,390,130,130,328.571428571429,80,NA,1250,NA,1
